ID;VERSION;CODIGO;CST;DESCRICAO;TIPO_ALIQUOTA;NOMENCLATURA;DESCRICAO_TRATAMENTO_TRIBUTARIO;INCOMPATIVEL_COM_SUSPENSAO;EXIGE_GRUPO_DESONERACAO;POSSUI_PERCENTUAL_REDUCAO;IND_APROP_CREDITO_ADQUIRENTE_CBS;IND_APROP_CREDITO_ADQUIRENTE_IBS;IND_CREDITO_PRESUMIDO_FORNECEDOR;IND_CREDITO_PRESUMIDO_ADQUIRENTE;CREDITO_OPERACAO_ANTECEDENTE;PCT_REDUCAO_CBS;PCT_REDUCAO_IBS_UF;PCT_REDUCAO_IBS_MUN;APLICAVEL_NFE;SIGLAS_DFE;DATA_ATUALIZACAO
9f0e0507-5e3d-49a4-b4a5-fab9a6bdbd76;1;200011;200;Fornecimento das composições para nutrição enteral e parenteral quando adquiridas por órgãos da administração pública (Anexo VI);Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe;2026-01-23
e560743e-c6ef-4e16-bda3-5ddd971ea769;1;200012;200;Situação de emergência de saúde pública reconhecida pelo Poder público;Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe,NFCe;2026-01-23
dd00e0ca-2536-4ecb-99af-e023094a2b02;1;200013;200;Fornecimento de tampões higiênicos, absorventes higiênicos internos ou externos;Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe,NFCe;2025-12-15
3be1ebdc-7fe7-4f08-b7f4-5c074d08d5d5;1;200014;200;Fornecimento dos produtos hortícolas, frutas e ovos (Anexo XV);Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe,NFCe;2025-12-15
64de6a76-04d6-452d-bf46-6db7564a49f1;1;200015;200;Venda de automóveis de passageiros de fabricação nacional adquiridos por motoristas profissionais ou pessoas com deficiência;Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe,NFCe;2025-12-15
c0dad060-31c9-4e62-9557-207066578ce5;1;200016;200;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);Padrão;NBS;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;false;NFSe;2026-04-15
27c75f38-72a3-4507-bc47-f763a7f93cc7;1;200017;200;Operações relacionadas ao FGTS;Padrão;NBS;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;false;NFSe,DERE;2026-01-23
bcddacdf-561b-4dbb-b93d-81b2204f0e7c;1;200018;200;Operações de resseguro e retrocessão;Padrão;NBS;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;false;DERE;2025-12-15
479363a0-5002-4fc5-9bf4-2f18ccc009ef;1;200019;200;Importador dos serviços financeiros contribuinte;Padrão;NBS;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;false;DERE,NFSe;2026-01-23
7d7786a3-03c3-41df-a197-8585986bf90c;1;200020;200;Operação praticada por sociedades cooperativas optantes por regime específico do IBS e CBS;Padrão;NBS ou NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe,NFCe,NFSe,NF3e,CTe;2026-04-15
ab66fe84-50bd-4bb2-9613-eb8cb340dcda;1;200021;200;Serviços de transporte público coletivo de passageiros ferroviário e hidroviário;Padrão;NBS;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;false;BPe TM,NFSe;2025-12-15
8b168496-8b85-48ef-92ae-c05ab9ba06f9;1;200022;200;Operação originada fora da ZFM que destine bem material industrializado a contribuinte estabelecido na ZFM;Padrão;NCM;Operação originada fora da ZFM - 200022;false;true;true;false;false;false;true;Manutenção;100;100;100;true;NFe;2025-12-15
e2314c74-61f2-4af8-8d40-6b66f13d3551;1;200023;200;Operação realizada por indústria incentivada que destine bem material intermediário para outra indústria incentivada na ZFM;Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe;2025-12-15
1d3a4c74-ec87-4c29-9c37-6d0c64478397;1;200024;200;Operação originada fora das Áreas de Livre Comércio destinadas a contribuinte estabelecido nas Áreas de Livre Comércio;Padrão;NCM;Operação originada fora das Áreas de Livre Comércio - 200024;false;true;true;false;false;false;false;Manutenção;100;100;100;true;NFe;2025-12-15
4da44d83-3bc7-49e5-9bf8-3df12ed23235;1;200025;200;Fornecimento dos serviços de educação relacionados ao Programa Universidade para Todos (Prouni);Padrão;NBS ou NCM;Alíquota zero apenas CBS e reduzida em 60% para IBS;false;false;true;false;true;false;false;Manutenção;100;60;60;false;NFSe;2026-04-15
3319877a-84df-40d3-8e60-21b92d36c098;1;200026;200;Locação de imóveis localizados nas zonas reabilitadas;Padrão;NBS ou NCM;Alíquota Reduzida em 80%;false;false;true;true;true;false;false;Manutenção;80;80;80;false;NFSe;2026-04-15
047e45f1-d3d8-48bd-a38b-eb02e075e9a0;1;200027;200;Operações de locação, cessão onerosa e arrendamento de bens imóveis;Padrão;NBS ou NCM;Alíquota reduzida em 70%;false;false;true;true;true;false;false;Manutenção;70;70;70;false;NFSe;2026-04-15
b8c2035a-85d7-40e0-9da8-f07934dc0308;1;200028;200;Fornecimento dos serviços de educação (Anexo II);Padrão;NBS;Alíquota reduzida em 60%;false;false;true;true;true;false;false;Manutenção;60;60;60;false;NFSe;2026-04-15
